id,razao social,endereco,bairro,bandeira,latitude,longitude
47,Posto Capri Comércio de Petróleo Ltda.,"Avenida General San Martins, 625",Cordeiro,TDC DISTRIBUIDORA,8.0553452,34.9237417
48,Petro Caxanga Ltda,"Avenida Caxangá, 4335",Iputinga,DISLUB,8.038013,34.9440759
49,Organização de Petroleo Shopping Ltda,"Rua Barão de Souza Leão, 1388 0",Boa Viagem,PETROBRAS DISTRIBUIDORA S.A.,8.1328301,34.912454
50,Cjcm Petroleo Ltda.,"Avenida Dezessete de Agosto, 2450",Monteiro,RAIZEN,8.028319,34.9261111
51,Tacaruna Petroleo Ltda,"Avenida Governador Agamenon, 1101",Santo Amaro,PETROBRAS DISTRIBUIDORA S.A.,8.038367,34.8750354
52,Senzala Serviços Automotivos Ltda,"Estrada do Arraial, 3546",Casa Amarela,RAIZEN,8.0272525,34.9139853
53,A. V. Combustiveis Ltda,"Avenida 17 de Agosto, 2310",Casa Forte,DISLUB,8.0294188,34.925551
54,Graças Combustíveis Ltda.,"Avenida Conselheiro Rosa e Silva, 1550",Graças,RAIZEN,8.0382983,34.9002572
55,Auto Posto Vila Nova Ltda.,"Avenida Caxanga, 1271 0",Cordeiro,PETROBRAS DISTRIBUIDORA S.A.,8.051488299999999,34.9197998
56,Wanderley e Claudenier Ltda,"Avenida Joaquim Ribeiro, 40",Caxanga,RAIZEN,8.0299522,34.9577584
57,Posto Nova Madalena Ltda.,"Rua Real da Torre, 430",Madalena,PETROBRAS DISTRIBUIDORA S.A.,8.053347,34.9084253
58,Posto A. R. Combustivel Ltda,"Praca Venacio de Rezende, 10",Afogados,BRANCA,8.0800758,34.9107288
59,Posto Leão da Ilha Ltda.,"Avenida Engenheiro Abdias de Carvalho, 1055",Ilha do Retiro,PETROBRAS DISTRIBUIDORA S.A.,8.0622562,34.9093351
60,Posto Nacional Comércio de Derivados de Petróleo Ltda.,"Avenida Marechal Mascarenhas de Morais, 5803",Imbiribeira,IPIRANGA,8.1346057,34.9161436
61,Petrocal Petroleo Cavalcanti Limitada,"Rua Conselheiro Nabuco, 383",Casa Amarela,PETROBRAS DISTRIBUIDORA S.A.,8.0292967,34.9172694
62,Posto Abastecimento Sao Jose Ltda,"Rua Imperial, 457 0",São José,PETROBRAS DISTRIBUIDORA S.A.,8.0732465,34.8857365
63,Posto Campus de Combustiveis Ltda,"Rua Benfica, 919",Madalena,RAIZEN,8.0584346,34.907305
64,Cavalcante Rabelo Ltda,"Avenida Conselheiro Rosa e Silva, 2000 0",Tamarineira,RAIZEN,8.0348617,34.9023557
65,Posto Leão da Ilha Ltda.,"Avenida Engenheiro Abdias de Carvalho, 125 0",Madalena,RAIZEN,8.0623066,34.9114331
